Story Heading,Story Excerpt,Timestamp,Section
Newspaper,MoST to set auto parts quality standards,March 3 meeting will be the first of the govt and auto industry related to formulating national standard for the sector.,"23 Feb, 2020 08:29am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,World defence spending sees biggest jump in 10 years: study,The increase in US spending alone from 2018 to 2019 — $53.4 billion — is almost as big as UK's entire defence budget.,"14 Feb, 2020 08:58pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
